ID,Data and Time,6.Education Level,8.English Language Level,9.How frequently do you see advertisements while browsing online?,10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Social media (e.g.， Facebook， Instagram， Twitter/X),10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Video streaming (e.g.， YouTube， Twitch， Bilibili),10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Shortvideo platform (e.g.， TikTok),10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Search engines (e.g.， Google， Bing， Baidu),10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Online shopping sites (e.g.， Amazon， Taobao),10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):News and blog websites,10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Other mobile apps and games,10.Through which online platforms or media do you often encounter advertisements? (Select all that apply):Promotional emails,11.On a scale of 1 to 5， how acceptable do you find advertisements embedded within responses from AI chatbots (e.g.， ChatGPT， Google Gemini)?,12.Do you have any concerns about advertisements being included in AI chatbot responses? If so， please describe them.  (You may use any language， though English is encouraged),13.When do you expect advertisements will start appearing in the responses of AI chatbots like ChatGPT?,14.Do you have any additional comments or thoughts about the inclusion of advertisements in AI chatbot responses? (You may use any language， though English is encouraged)
38,25-Apr-2025 18:06:28,C.Bachelor's Degree,E.Second-language,C.Occasionally – I see ads a few times a week,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,D.Search engines (e.g.， Google， Bing， Baidu),,,,,B.2 – Slightly acceptable,I'm really concerned about the insertion of advertisements in AI software. In our daily lives， we use AI software almost every day. If the advertisements are very obvious， we can identify them. However， for some hidden advertisements， due to our trust in AI， we often fail to notice their existence， leading to unconscious biased choices. This is very scary.,G.Not sure,"AI has a strong guiding influence. When making decisions we are uncertain about， we often turn to AI as a guide for our actions. If AI inserts hard-to-detect advertisements into its responses， on one hand， people may struggle to notice these ads， leading them to make decisions they otherwise wouldn’t have. On the other hand， embedding ads in AI’s response systems could trigger a crisis of trust. When using AI， people may constantly worry whether the answers are truly objective or algorithmically delivered advertisements.
Mainstream applications like ChatGPT and DeepSeek are chatbot programs. Unlike traditional web ads or video pre-roll ads， inserting advertisements into such interactive software would allow ads to reach potential customers with unprecedented precision. For advertisers， this would indeed be an excellent method， avoiding the cost inefficiencies of mass advertising. However， for consumers， such manipulation could be highly dangerous—much like in The Truman Show， where no one knows whether they are living in the real world or a carefully constructed reality shaped by advertisers."
37,25-Apr-2025 17:58:18,C.Bachelor's Degree,C.Advanced,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),,E.Online shopping sites (e.g.， Amazon， Taobao),,,,B.2 – Slightly acceptable,AI's answer might not remain objective,F.I don’t think it will happen,Adding advertisements may bring certain income to developers， thereby improving the AI chatbot model
36,25-Apr-2025 18:05:43,D.Master's Degree,D.Fluent,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,,H.Promotional emails,B.2 – Slightly acceptable,I'm worried that I can't effectively identify the advertisements. I usually believe the answers given by AI chatbot are objective.,D.Within 2–3 years,If  AI chatbots have a monopoly position in the future， it may add advertisements in responses. And users have to get used to it.
35,25-Apr-2025 17:55:50,D.Master's Degree,C.Advanced,B.Frequently – I notice ads several times a day,,B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),,,H.Promotional emails,B.2 – Slightly acceptable,I'm worried about giving excessive praise to certain advertisements.,C.Within 1 year,no
34,25-Apr-2025 17:52:01,D.Master's Degree,C.Advanced,C.Occasionally – I see ads a few times a week,,B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),,,,,C.3 – Moderately acceptable,没有顾虑,E.In more than 3 years,尽量不要加入
33,25-Apr-2025 17:40:12,D.Master's Degree,C.Advanced,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),,C.Shortvideo platform (e.g.， TikTok),,,,G.Other mobile apps and games,,B.2 – Slightly acceptable,Advertisements being included in AI chatbot responses may cause confusion between responses and ads.,G.Not sure,none
32,25-Apr-2025 17:38:38,D.Master's Degree,E.Second-language,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),,,H.Promotional emails,B.2 – Slightly acceptable,人工智能生成广告可能会自身产品不了解，并且因为幻觉问题生成虚假内容，进而误导消费者,A.They already appear,建议微调一个专门用于广告生成的大模型，并且必须遵循用户的上下文信息，保证生成内容不是虚构
31,25-Apr-2025 17:41:08,D.Master's Degree,B.Intermediate,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),,,G.Other mobile apps and games,,A.1 – Not acceptable at all,Yes， I'm afraid AI will induce me to consume,C.Within 1 year,Don't affect my normal user experience
30,25-Apr-2025 17:36:12,D.Master's Degree,C.Advanced,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),,,,,B.2 – Slightly acceptable,担心会损害所提供信息的客观性和可信度，尤其是用户可能难以区分无偏见的答案和付费内容，导致接受到错误信息或被操纵。,A.They already appear,要标注，至少让用的人知道哪些是广告，哪些是信息，也就是说，人得有知情同意，让他们自己来选择是否接受。
29,25-Apr-2025 17:34:08,C.Bachelor's Degree,C.Advanced,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,G.Other mobile apps and games,H.Promotional emails,B.2 – Slightly acceptable,"担心被提供错误的信息；
担心被诱导进行消费；
担心缺乏监管和标准",B.Within the next 6 months,No
28,25-Apr-2025 17:31:32,D.Master's Degree,D.Fluent,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),,,,C.3 – Moderately acceptable,无法理解我的情感需求，过于机械。,B.Within the next 6 months,希望可以更加人性化。
27,24-Apr-2025 08:47:13,D.Master's Degree,D.Fluent,A.Very frequently – I see ads on almost every website or app I use,,B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),,G.Other mobile apps and games,,B.2 – Slightly acceptable,我会因此而ai机器人的公正性和客观性，从而减少我之后使用它的频率。,C.Within 1 year,如果ai来做广告，那么谁来做广告的审核方？广告产品和服务的可靠性如何保证呢？
26,23-Apr-2025 15:02:04,D.Master's Degree,D.Fluent,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),,,,E.Online shopping sites (e.g.， Amazon， Taobao),,,,A.1 – Not acceptable at all,It makes answers from chatbot also suspicious， leaving me wondering if they are biased and non-trustworthy.,C.Within 1 year,I strongly oppose including ads in responses. If so， it should explicitly state that those answers are sponsored. Alternatively， adding ads to other places in the app interfaces but not responses is acceptable.
25,23-Apr-2025 13:01:57,E.Doctoral Degree,B.Intermediate,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),,G.Other mobile apps and games,H.Promotional emails,C.3 – Moderately acceptable,可能会使得 AI 的选择倾向产生偏差，从而可能会影响 AI 回复的正确性。,G.Not sure,无
24,23-Apr-2025 11:39:51,D.Master's Degree,D.Fluent,B.Frequently – I notice ads several times a day,,,,D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,G.Other mobile apps and games,,C.3 – Moderately acceptable,有些顾虑，但可以接受。顾虑主要是1.ai中包含广告会让我对结果的专业性产生怀疑；2.软广还好，硬广会让我抵触；3.有针对性的投放广告会让我担心是否泄露隐私。,B.Within the next 6 months,商业广告植入可以理解，毕竟也能成为支撑ai发展的一大收入之一。但要注意广告的接受度，最好不要植入对话中，而是要脱离专业问答。
23,23-Apr-2025 11:42:08,D.Master's Degree,C.Advanced,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),,,,E.Online shopping sites (e.g.， Amazon， Taobao),,,,A.1 – Not acceptable at all,Can’t give me the best answer if advertisements being included in Ai,F.I don’t think it will happen,None
22,23-Apr-2025 11:11:12,D.Master's Degree,C.Advanced,C.Occasionally – I see ads a few times a week,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,,E.Online shopping sites (e.g.， Amazon， Taobao),,,,C.3 – Moderately acceptable,I’m concerned that ads in AI chatbots could lead to biased information and a poor user experience.,B.Within the next 6 months,Chatbots need to explicitly inform users that they may see advertisements in their conversations. This could be stated when the user starts using the chatbot， or a special prompt could be inserted the first time an advertisement is inserted. Additionally allow users to choose whether or not to receive advertisements， or to set the frequency and type of advertisements. For example， the options to “reduce ads” or “receive only certain types of ads” can be provided.
21,23-Apr-2025 11:20:12,D.Master's Degree,D.Fluent,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,G.Other mobile apps and games,H.Promotional emails,C.3 – Moderately acceptable,I am acceptable to having ads in AI chatbot as long as it provides some discount or promotions like several free chats opportunities. But I am worried that ads will interfere with its answers or cause some misinformation.,D.Within 2–3 years,I think ads may be just directly inserted after the responses， not affecting the main part.
20,23-Apr-2025 10:55:46,E.Doctoral Degree,B.Intermediate,C.Occasionally – I see ads a few times a week,,,C.Shortvideo platform (e.g.， TikTok),,,,G.Other mobile apps and games,,A.1 – Not acceptable at all,no,G.Not sure,并不想在AI的回复中被加入广告…
19,23-Apr-2025 11:03:01,D.Master's Degree,B.Intermediate,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),,C.Shortvideo platform (e.g.， TikTok),,E.Online shopping sites (e.g.， Amazon， Taobao),,,,C.3 – Moderately acceptable,缺少人文魅力,A.They already appear,在生成自己的数据库的时候，可能会获取其他用户的隐私个人偏好信息来训练自己的模型
18,23-Apr-2025 10:57:04,D.Master's Degree,B.Intermediate,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,,,,,,C.3 – Moderately acceptable,Loss of trust and objectivity. people choose to believe AI because of its  neutrality and objectivity， but involving ads，  users may begin to question whether the information provided is genuinely helpful or just paid promotion.,C.Within 1 year,they should be clearly labeled and easy to opt out of
17,17-Apr-2025 16:27:19,E.Doctoral Degree,C.Advanced,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,G.Other mobile apps and games,H.Promotional emails,B.2 – Slightly acceptable,I worry about the accuracy and reliability of AI response if there are advetisements being included.,C.Within 1 year,I believe the results should include a mix of recommendations and advertisements， rather than advertisements alone.
16,17-Apr-2025 14:43:30,C.Bachelor's Degree,C.Advanced,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,,E.Online shopping sites (e.g.， Amazon， Taobao),,,,B.2 – Slightly acceptable,Yes， I’m concerned.  Ads in chatbot responses may reduce trust， making users doubt the objectivity of the answers.  They can also interrupt the flow of conversation and feel intrusive. If not clearly labeled or relevant， they hurt the overall user experience.,F.I don’t think it will happen,I think ads should always be clearly marked and optional.  AI should prioritize helping users， not selling to them.
15,17-Apr-2025 14:30:39,C.Bachelor's Degree,B.Intermediate,B.Frequently – I notice ads several times a day,,B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,,,B.2 – Slightly acceptable,It may lower the intelligence of AI,C.Within 1 year,no
14,15-Apr-2025 23:04:08,C.Bachelor's Degree,D.Fluent,C.Occasionally – I see ads a few times a week,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),,,,,,B.2 – Slightly acceptable,不希望，在 AIchatbot 中引入广告本身不应该是AI公司的主盈利方式，更多的应该走API盈利（笑）,B.Within the next 6 months,"本身民众对于AI的盲信（不夸张）会导致部分别有用心的公司，使用AI广告非法获利成为可能。
绝大多数人，不具备主观的验证AI输出的能力（以为本身没有这个防范意识），因此这个方式有效性极高，传播效率高等“优点”。效果只会比之前百度的医疗广告更“好”
我个人反对在AI输出中主动的引入广告，这本身会误导大量较低文化水平的受众，导致一系列纠纷"
13,15-Apr-2025 16:02:22,C.Bachelor's Degree,C.Advanced,C.Occasionally – I see ads a few times a week,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),,,,C.3 – Moderately acceptable,"1. The ads should not appear before the responses.
2. The ads should not appear too frequently.
3. If the ads do not match my preferences or reduces my efficiency (eg. when I try to generate codes， the ads recommend new Iphones to me.)， I will choose other AI chatbots.",C.Within 1 year,"Including advertisement recommendations in large language models is a double-edged sword. On one hand， it can create value for companies; on the other hand， if the ads are too frequent or lack transparency， they may undermine user experience and trust. The key lies in ensuring the relevance and quality of the recommendations， as well as giving users a certain degree of control — ads should not overly interfere with the user experience. 
Moreover， commercial competition is another important factor: the presence or absence of appropriate ad recommendations might become a new dimension in the competition between AI models. Users may prefer AI systems that are efficient and relatively ad-free. 
Additionally， overly intelligent ad recommendations might raise concerns among users， making them wary of AI that feels too smart — going beyond the role of a tool."
12,15-Apr-2025 15:11:17,C.Bachelor's Degree,B.Intermediate,C.Occasionally – I see ads a few times a week,,B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),,G.Other mobile apps and games,,E.5 – Completely acceptable,nothing,B.Within the next 6 months,Advertisements had better appear after all the questions are answered
11,15-Apr-2025 14:04:17,D.Master's Degree,E.Second-language,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),,C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),,,,,D.4 – Very acceptable,We need to pay more attention to the authenticity of AI-generated ads， and  clarify any potential false advertising and who’s responsible for it.,C.Within 1 year,We need to figure out which type of ads might not create confusion in the context of AI generation.
10,15-Apr-2025 13:12:27,E.Doctoral Degree,B.Intermediate,B.Frequently – I notice ads several times a day,,B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,D.Search engines (e.g.， Google， Bing， Baidu),,,G.Other mobile apps and games,H.Promotional emails,B.2 – Slightly acceptable,"Will ads affect the common use of AI? Will unrelated ads appear in AI response?

Can users distinguish between normal response and ads? Can users turn off the generation of ads?

The content of ads is pre-written or generated by AI? If latter， who will be responsible for the misinfomation?

advertising language? advertising law in different region?",G.Not sure,it is more acceptable if ads is boxed at the end of AI response with a line saying it is a ads.
9,15-Apr-2025 13:41:33,E.Doctoral Degree,C.Advanced,D.Rarely – I only see ads once in a while,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,D.Search engines (e.g.， Google， Bing， Baidu),,,G.Other mobile apps and games,,C.3 – Moderately acceptable,No,C.Within 1 year,No
8,15-Apr-2025 13:13:27,C.Bachelor's Degree,C.Advanced,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),,E.Online shopping sites (e.g.， Amazon， Taobao),,,,A.1 – Not acceptable at all,Advertisements may interrupt my thinking if they have no relation to my topic.,C.Within 1 year,No.
7,15-Apr-2025 12:56:38,C.Bachelor's Degree,C.Advanced,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),,G.Other mobile apps and games,,A.1 – Not acceptable at all,It may provide misleading information and it's difficult for users to distinguish ads from normal responses.,G.Not sure,No.
6,15-Apr-2025 12:51:37,C.Bachelor's Degree,C.Advanced,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),,,,B.2 – Slightly acceptable,Ads may degrade the usefulness of response， e.g.， suggesting a sponsored solution instead of the best solution.,D.Within 2–3 years,It may be difficult to fully cover the computation cost by ad income.
5,15-Apr-2025 12:44:54,E.Doctoral Degree,E.Second-language,C.Occasionally – I see ads a few times a week,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),,,H.Promotional emails,C.3 – Moderately acceptable,My concern mainly lies in the belief that the quality of ads is consistently lower (e.g.， higher price， lower servicing quality， false advertising) than the quality of organic contents.,A.They already appear,No
4,15-Apr-2025 12:37:58,D.Master's Degree,D.Fluent,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,G.Other mobile apps and games,H.Promotional emails,C.3 – Moderately acceptable,Responses may be influenced for the profit of ads,C.Within 1 year,No
3,15-Apr-2025 11:12:37,D.Master's Degree,D.Fluent,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),,C.Shortvideo platform (e.g.， TikTok),,E.Online shopping sites (e.g.， Amazon， Taobao),F.News and blog websites,G.Other mobile apps and games,,C.3 – Moderately acceptable,The response may not be accurate， or at least I may not believe it.,F.I don’t think it will happen,I may have doubts about the response if the advertisement is included in it.
2,15-Apr-2025 11:08:41,E.Doctoral Degree,C.Advanced,B.Frequently – I notice ads several times a day,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),C.Shortvideo platform (e.g.， TikTok),D.Search engines (e.g.， Google， Bing， Baidu),E.Online shopping sites (e.g.， Amazon， Taobao),,,H.Promotional emails,B.2 – Slightly acceptable,"1. Distract my thoughts when tackling problems using AI chatbots.
2. Receive dishonest suggestions from chatbots due to the need of advertisements.",B.Within the next 6 months,"1. Do not distract the progress of working and thinking.
2. The advertisements should be personalized and make us happy to purchase the products.
3. The responses have to be 100% honest."
1,15-Apr-2025 11:04:38,E.Doctoral Degree,D.Fluent,A.Very frequently – I see ads on almost every website or app I use,A.Social media (e.g.， Facebook， Instagram， Twitter/X),B.Video streaming (e.g.， YouTube， Twitch， Bilibili),,,E.Online shopping sites (e.g.， Amazon， Taobao),,,,B.2 – Slightly acceptable,Advertisements appearing in the responses of large language models can lead people to question the authenticity of those responses.,B.Within the next 6 months,At least the chatbot should let me know whether the answer is an advertisement or not
