,T01A01.0,T01A01.1,T01A01.2,T01A01.3,T01A01.4,T01A01.5,T01A01.6,T01A01.7,T01A01.8,T01A01.9,T01A02.0,T01A02.1,T01A02.2,T01A02.3,T01A02.4,T01A02.5,T01A02.6,T01A02.7,T01A02.8,T01A02.9,T01A03.0,T01A03.1,T01A03.2,T01A03.3,T01A03.4,T01A03.5,T01A03.6,T01A03.7,T01A03.8,T01A03.9,T01A04.0,T01A04.1,T01A04.2,T01A04.3,T01A04.4,T01A04.5,T01A04.6,T01A04.7,T01A04.8,T01A04.9,T01A05.0,T01A05.1,T01A05.2,T01A05.3,T01A05.4,T01A05.5,T01A05.6,T01A05.7,T01A05.8,T01A05.9,T02A01.0,T02A01.1,T02A01.2,T02A01.3,T02A01.4,T02A01.5,T02A01.6,T02A01.7,T02A01.8,T02A01.9,T02A02.0,T02A02.1,T02A02.2,T02A02.3,T02A02.4,T02A02.5,T02A02.6,T02A02.7,T02A02.8,T02A02.9,T02A03.0,T02A03.1,T02A03.2,T02A03.3,T02A03.4,T02A03.5,T02A03.6,T02A03.7,T02A03.8,T02A03.9,T02A04.0,T02A04.1,T02A04.2,T02A04.3,T02A04.4,T02A04.5,T02A04.6,T02A04.7,T02A04.8,T02A04.9,T02A05.0,T02A05.1,T02A05.2,T02A05.3,T02A05.4,T02A05.5,T02A05.6,T02A05.7,T02A05.8,T02A05.9,T03A01.0,T03A01.1,T03A01.2,T03A01.3,T03A01.4,T03A01.5,T03A01.6,T03A01.7,T03A01.8,T03A01.9,T03A02.0,T03A02.1,T03A02.2,T03A02.3,T03A02.4,T03A02.5,T03A02.6,T03A02.7,T03A02.8,T03A02.9,T03A03.0,T03A03.1,T03A03.2,T03A03.3,T03A03.4,T03A03.5,T03A03.6,T03A03.7,T03A03.8,T03A03.9,T03A04.0,T03A04.1,T03A04.2,T03A04.3,T03A04.4,T03A04.5,T03A04.6,T03A04.7,T03A04.8,T03A04.9,T03A05.0,T03A05.1,T03A05.2,T03A05.3,T03A05.4,T03A05.5,T03A05.6,T03A05.7,T03A05.8,T03A05.9,T03A06.0,T03A06.1,T03A06.2,T03A06.3,T03A06.4,T03A06.5,T03A06.6,T03A06.7,T03A06.8,T03A06.9,T03A07.0,T03A07.1,T03A07.2,T03A07.3,T03A07.4,T03A07.5,T03A07.6,T03A07.7,T03A07.8,T03A07.9,T04A01.0,T04A01.1,T04A01.2,T04A01.3,T04A01.4,T04A01.5,T04A01.6,T04A01.7,T04A01.8,T04A01.9,T04A02.0,T04A02.1,T04A02.2,T04A02.3,T04A02.4,T04A02.5,T04A02.6,T04A02.7,T04A02.8,T04A02.9,T05A01.0,T05A01.1,T05A01.2,T05A01.3,T05A01.4,T05A01.5,T05A01.6,T05A01.7,T05A01.8,T05A01.9,T05A02.0,T05A02.1,T05A02.2,T05A02.3,T05A02.4,T05A02.5,T05A02.6,T05A02.7,T05A02.8,T05A02.9,T05A03.0,T05A03.1,T05A03.2,T05A03.3,T05A03.4,T05A03.5,T05A03.6,T05A03.7,T05A03.8,T05A03.9,T06A01.0,T06A01.1,T06A01.2,T06A01.3,T06A01.4,T06A01.5,T06A01.6,T06A01.7,T06A01.8,T06A01.9,T06A02.0,T06A02.1,T06A02.2,T06A02.3,T06A02.4,T06A02.5,T06A02.6,T06A02.7,T06A02.8,T06A02.9,T06A03.0,T06A03.1,T06A03.2,T06A03.3,T06A03.4,T06A03.5,T06A03.6,T06A03.7,T06A03.8,T06A03.9,T06A04.0,T06A04.1,T06A04.2,T06A04.3,T06A04.4,T06A04.5,T06A04.6,T06A04.7,T06A04.8,T06A04.9,T06A05.0,T06A05.1,T06A05.2,T06A05.3,T06A05.4,T06A05.5,T06A05.6,T06A05.7,T06A05.8,T06A05.9,T06A06.0,T06A06.1,T06A06.2,T06A06.3,T06A06.4,T06A06.5,T06A06.6,T06A06.7,T06A06.8,T06A06.9,T07A01.0,T07A01.1,T07A01.2,T07A01.3,T07A01.4,T07A01.5,T07A01.6,T07A01.7,T07A01.8,T07A01.9,T07A02.0,T07A02.1,T07A02.2,T07A02.3,T07A02.4,T07A02.5,T07A02.6,T07A02.7,T07A02.8,T07A02.9,T07A03.0,T07A03.1,T07A03.2,T07A03.3,T07A03.4,T07A03.5,T07A03.6,T07A03.7,T07A03.8,T07A03.9
participant_11,3,1,1,2,2,1,3,1,3,3,2,1,1,1,2,1,1,2,1,3,2,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,4,1,3,5,1,3,2,5,3,1,1,4,1,1,1,4,1,2,5,1,1,1,1,1,1,4,1,4,4,1,1,1,1,1,1,1,1,5,2,2,1,1,1,1,4,1,5,2,1,1,4,1,1,3,1,1,1,1,3,1,1,1,5,3,1,1,1,1,1,1,1,2,3,3,1,1,1,1,3,1,1,1,4,3,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,3,1,1,3,3,1,1,1,1,1,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,1,3,1,3,1,1,1,4,1,1,1,3,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,4,1,1,3,1,1,1,4,1,1,1,1,1,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
participant_12,3,2,5,1,1,2,5,1,2,4,1,3,2,1,1,1,4,4,3,5,1,1,1,1,2,1,2,2,3,5,1,1,3,1,5,1,1,1,5,2,5,1,3,1,1,1,5,1,3,3,1,2,1,5,3,1,1,1,1,1,1,5,1,3,1,1,1,1,1,1,1,3,1,5,3,1,1,1,1,1,1,4,1,5,1,1,1,1,1,2,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,5,5,3,1,1,1,3,2,1,1,1,3,3,1,2,1,1,1,1,1,1,5,3,1,1,1,1,1,1,1,1,5,3,1,3,1,1,3,1,1,3,1,1,1,1,1,3,1,1,1,3,1,1,3,1,1,1,1,1,3,3,1,1,5,1,1,1,1,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,5,1,1,1,3,1,1,5,2,1,1,3,1,1,1,5,1,3,2,1,1,3,1,1,1,2,1,1,1,1,2,1,3,1,3,1,1,1,1,1,2,1,3,1,3,1,1,1,1,1,2,2,5,1,2,1,1
participant_13,4,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,3,1,2,4,1,1,1,1,2,3,3,1,2,4,1,3,1,2,3,1,3,1,3,4,4,1,1,2,1,1,1,1,1,1,1,2,3,4,2,2,1,1,1,1,1,1,3,2,4,1,1,1,2,1,1,3,3,3,2,1,1,1,1,1,1,3,3,4,3,2,1,2,3,1,3,1,4,4,2,2,2,2,1,1,1,3,1,1,3,1,1,2,4,2,1,1,1,2,1,1,1,2,4,2,1,2,1,3,2,1,1,2,4,1,1,1,1,1,1,1,1,1,5,2,1,1,1,2,1,1,1,1,5,2,1,2,1,2,3,1,1,3,2,1,1,1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,3,4,1,1,2,3,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,4,1,1,2,2,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
participant_14,5,1,1,1,1,2,4,1,1,1,1,2,1,1,1,1,1,3,2,5,1,2,1,1,1,1,3,1,3,5,1,4,1,3,3,1,1,1,1,1,4,1,1,1,1,3,4,3,1,1,1,1,1,5,2,2,1,3,1,1,1,1,1,4,3,1,1,1,3,1,1,5,1,1,3,1,1,2,1,1,1,1,1,5,2,1,1,2,1,1,4,1,5,1,1,2,4,2,1,1,1,1,1,1,1,1,3,1,1,5,1,1,1,3,1,1,1,5,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,1,1,1,3,4,1,3,1,2,4,1,1,1,2,1,1,2,1,2,4,1,1,1,1,1,3,1,1,1,1,1,5,3,1,1,5,1,1,1,1,2,5,2,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,5,1,3,1,1,5,1,1,1,1,1,3,4,1,1,2,1,1,1,1,1,5,1,1,2,1,3,1,3,4,1,1,1,2,1,2,1,1,5,1,1,1,1,1,1,3,1,1,1,4,1,2,1,1,1,1,3,1,1,4,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,1,1,5,1,1,1,3,1,1
participant_15,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,4,1,1,1,1,2,1,3,1,1,3,1,1,1,1,3,1,2,1,3,2,2,1,1,1,2,1,2,1,1,1,1,1,1,5,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,2,1,1,1,1,3,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,4,4,1,1,1,3,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,5,1,1,1,2,1,1,1,1,3,3,1,1,1,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,3,1,1,5,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,3,1,1,1,5,1,1,1,1,1,1,4,1,1,1,4,2,5,1,1,1,1,2,5,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
participant_16,4,2,4,4,1,5,2,4,1,1,1,4,4,4,2,1,5,4,1,5,1,2,1,1,1,4,3,4,1,5,1,5,2,3,3,1,1,1,4,5,4,1,1,3,1,1,1,5,1,1,1,4,1,5,1,3,1,5,1,1,1,1,1,4,3,1,1,4,4,1,1,4,1,4,1,1,1,5,1,1,1,5,1,5,3,1,1,5,1,1,5,1,5,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,5,1,1,2,1,3,3,1,1,3,5,1,1,1,1,1,2,1,1,4,3,1,1,1,1,1,3,1,1,1,5,1,1,3,1,3,2,1,1,2,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,1,1,3,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,4,3,1,1,1,1,1,1,1,1,2,1,1,1,5,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
participant_17,4,3,3,4,4,4,4,3,3,3,4,5,5,3,3,3,4,5,3,3,3,4,4,4,3,2,2,4,4,4,3,3,4,4,3,4,4,3,4,4,3,4,3,3,4,4,2,3,3,2,3, ,3,3,4,4,2,4,4,3,3,3,3,4,4,4,2,2,4,3,5,1,3,3,4,4,4,4,3,3,5,3,3,4,4,4,2,4,3,4,5,4,3,4,4,4,2,4,4,4,4,3,4,2,3,3,2,4,4,3,5,2,5,4,3,4,4,3,3,2,3,3,4,4,2,2,3,3,3,4,3,5,2,4,4,3,1,4,4,2,2,5,4,3,3,3,3,4,3,3,5,5,2,5,3,2,3,4,4,3,5,2,3,4,4,4,1,4,3,4,3,3,4,2,4,3,4,4,2,4,4,3,3,4,3,3,4,4,3,3,3,4,4,3,3,4,2,3,3,3,5,4,3,2,2,3,2,4,2,2,4,2,3,3,4,4,4,4,3,5,5,3,1,5,3,2,2,1,5,2,3,4,4,1,2,3,2,3,3,3,2,3,4,4,2,4,3,3,4,3,3,4,2,4,3,4,5,3,4,3,3,3,2,3,3,3,2,3,2,2,3,4,3,4,4,4,3,3,3,2,3,5,4,4,3,4,4,2,4,3,3,2,4,4,3,4,3,3,3,3,3,4,4,2,4,2,4,2,3,5
participant_18,5,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,4,1,4,1,1,3,1,1,1,4,4,3,1,1,1,1,3,3,1,1,2,1,2,1,4,2,1,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,4,4,1,1,4,1,1,5,1,5,1,1,1,5,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,5,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,3,1,1,3,1,1,1,5,1,1,3,1,1,1,5,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
participant_19,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,2,1,1,3,1,3,4,1,1,1,1,1,1,1,2,3,4, , , , , , , , , , ,1,1,1,1,1,1,1,3,1,1,1,1,4,1,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,1,3,4,2,1,1,1,4,3,1,1,2,3,2, , , , , , , , , , ,1,1,1,1,2,1,1,1,3,3,1,4,1,3,1,1,1,2,1,1,1,1,1,2,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,3,1,1,4,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,3,4,1,4,2,1,1,1,1,1,2,1,1,4,1,1,1,5,1,1,3,2,1,1,4,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1
participant_20,5,2,2,1,1,1,5,1,1,5,1,3,1,4,1,1,4,2,1,5,1,3,3,2,1,5,4,5,1,5,1,3,3,1,1,1,3,4,1,5,4,1,2,1,1,1,3,5,1,5,1,1,1,5,5,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,5,1,1,4,2,1,1,1,1,1,1,1,4,4,1,1,2,5,1,5,1,5,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,5,4,2,1,1,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,5,3,1,1,1,1,4,1,1,1,3,1,1,1,1,1,5,1,1,1,1,1,4,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,4,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,2,1,4,1,1,5,1,1,1,1,1,3,1,1,1,5,1,1,1,1,1,4,1,1,1,3,5,1,4,5,1,1,1,1,1,3,1,1,3,1,1,1,5,1,1,3,1,1,1,5,1,1,1,4,1,2,1,1,1,1,1,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
participant_21,5,3,1,1,1,1,3,1,2,3,1,1,1,1,1,3,1,2,3,5,1,1,1,1,1,1,1,1,1,4,1,5,1,1,3,1,1,1,4,5,4,1,1,1,1,3,3,1,1,2,1,2,1,5,2,1,1,2,1,1,1,2,1,1,2,1,1,1,4,1,1,3,1,1,3,1,1,1,1,1,1,1,1,4,4,1,1,4,1,1,5,1,5,1,1,1,5,1,1,1,1,1,1,1,2,1,1,2,5,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,1,1,1,5,1,1,1,1,1,3,1,1,1,5,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,5,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,3,1,1,3,1,1,1,5,1,1,3,1,1,1,5,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
participant_22,4,2,1,1,2,1,4,4,1,3,1,3,2,1,4,1,1,1,4,4,1,2,1,1,2,3,1,1,4,3,1,2,3,2,4,1,1,3,4,3,5,1,5,2,1,1,3,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,1,5,1,1,1,5,2,1,1,3,1,3,1,1,3,1,1,1,3,1,4,1,1,1,3,4,1,3,1,4,1,1,1,3,1,1,3,1,1,1,1,3,2,3,1,3,5,1,1,1,2,3,1,3,1,3,4,1,1,1,1,2,1,2,1,3,3,1,1,1,1,4,1,1,1,5,3,1,1,1,1,3,1,1,1,4,2,1,1,1,1,5,4,1,2,4,2,1,1,1,2,5,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,1,1,1,1,1,1,1,5,1,2,1,1,1,1,1,1,1,5,1,2,1,1,5,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1,5,1,1,1,3,1,1,1,1,5,1,1,1,4,1,1,1,1,1,1,5,1,1,2,3,1,1,1,1,1,1,1,4,3,1,3,1,1,1,5,1,1,1,5,1,1,1,1,1,5,4,1,1,3,1,1,1,1,1,4,3,1,1,4,1,1
participant_23,3,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1, ,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
participant_24,5,1,3,1,1,1,3,2,1,1,1,1,3,1,1,1,5,2,1,1,1,1,5,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,3,5,5,1,4,1,1,1,5,3,1,1,1,3,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,3,3,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
participant_25,4,2,4,1,2,1,4,1,2,2,1,2,1,2,2,1,1,1,3,5,1,2,3,2,1,4,1,2,2,4,1,5,1,1,2,1,2,2,4,4,5,1,3,1,1,3,5,2,2,3,1,3,1,5,3,2,1,1,1,1,1,2,2,3,4,2,1,1,1,1,1,5,1,4,3,2,1,1,1,1,1,5,1,5,2,2,1,1,5,3,5,2,5,1,1,3,5,1,1,1,2,1,2,1,2,1,1,1,5,3,1,1,1,3,2,1,1,4,5,1,1,2,1,2,2,1,1,3,5,3,1,2,1,2,2,1,1,2,5,3,1,1,1,1,1,1,1,1,5,4,1,3,1,2,4,1,1,4,5,3,1,2,1,1,5,1,1,1,1,1,3,1,1,1,1,1,3,2,1,1,4,1,2,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,5,1,1,5,2,2,1,1,4,3,1,1,1,4,2,2,1,1,1,4,1,1,1,4,2,1,5,3,2,1,2,4,1,2,1,1,5,1,2,2,5,1,1,4,2,1,1,2,2,2,2,2,1,4,2,1,1,1,2,4,2,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
participant_26,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,4,5,5,5,3,5,4,5,5,3,5,5,5,4,4,5,5,5,5,5,5,5,5,4,3,5,4,5,5,4,4,5,5,4,3,5,5,5,4,4,5,5,5,5,5,5,3,5,5,4,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,4,5,5,5,4,4,5,4,5,4,4,5,5,4,4,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,5,4,5,5,3,5,5,5,5,5,5,5,5,5,5,3,5,4,4,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,4,5,5,5,4,5,4,5,5,5,4,5,5,5,5, ,4,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
participant_27,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,5,5,5,1,1,1,1,1,5,1,1,3,5,1,1,1,1,5,1,1,1,5,5,5,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,5,1,1,5,1,1,3,1,1,1,5,1,5,5,1,1,1,1,1,5,1,5,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,3,1,1,5,5,1,1,1,1,1,3,1,1,5,5,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,5,5,1,3,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1
participant_28,3,1,1,1,1,2,4,1,1,5,1,2,2,3,1,1,4,1,2,5,1,2,1,1,1,1,3,1,1,5,1,1,1,4,1,1,5,1,1,5,5,1,3,1,2,1,3,1,3,2,1,2,1,5,5,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,4,1,1,1,1,1,3,1,5,1,1,1,3,1,1,1,1,3,1,1,2,1,1,1,3,3,1,1,1,3,1, ,1,2,4,1,1,1,1,1,3,1,1,2,5,4,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,3,3,1,1,1,3,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,2,1,3,1,1,5,1,1,1,3,1,1,1,1,1,3,1,1,1,3,1,2,1,1,1,1,1,1,1,5,1,1,1,1,1,3,1,1,5,3,1,1,5,1,1,3,3,1,1,5,1,1,1,4,1,2,1,1,2,2,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
